USP Category,USP Class,Example Drugs,Pharmacotherapeutic Group (informational),Combination Drug Product
Antibacterials,"Beta-lactam, Cephalosporins", ,,
Antibacterials,"Beta-lactam, Cephalosporins",Cefadroxil ,,no
Antibacterials,"Beta-lactam, Cephalosporins",Cefazolin Sodium,,no
Antibacterials,"Beta-lactam, Cephalosporins",Cephalexin ,,no
Antibacterials,"Beta-lactam, Cephalosporins", ,,
Antibacterials,"Beta-lactam, Cephalosporins",Cefaclor ,,no
Antibacterials,"Beta-lactam, Cephalosporins",Cefotetan Disodium,,no
Antibacterials,"Beta-lactam, Cephalosporins",Cefoxitin Sodium,,no
Antibacterials,"Beta-lactam, Cephalosporins",Cefprozil ,,no
Antibacterials,"Beta-lactam, Cephalosporins",Cefuroxime Axetil,,no
Antibacterials,"Beta-lactam, Cephalosporins",Cefuroxime Sodium,,no
Antibacterials,"Beta-lactam, Cephalosporins", ,,
Antibacterials,"Beta-lactam, Cephalosporins",Cefdinir ,,no
Antibacterials,"Beta-lactam, Cephalosporins",Cefixime ,,no
Antibacterials,"Beta-lactam, Cephalosporins",Cefotaxime Sodium,,no
Antibacterials,"Beta-lactam, Cephalosporins",Cefpodoxime Proxetil,,no
Antibacterials,"Beta-lactam, Cephalosporins",Ceftazidime ,,no
Antibacterials,"Beta-lactam, Cephalosporins",Ceftazidime/ Avibactam ,,yes
Antibacterials,"Beta-lactam, Cephalosporins",Ceftriaxone Sodium,,no
Antibacterials,"Beta-lactam, Cephalosporins", ,,
Antibacterials,"Beta-lactam, Cephalosporins",Cefepime Hydrochloride,,no
Antibacterials,"Beta-lactam, Cephalosporins",,,
Antibacterials,"Beta-lactam, Cephalosporins",Cefiderocol ,,no
Antibacterials,"Beta-lactam, Cephalosporins",Ceftaroline Fosamil ,,no
Antibacterials,"Beta-lactam, Cephalosporins",Ceftolozane Sulfate/ Tazobactam ,,yes
Antibacterials,"Beta-lactam, Penicillins", ,,Class
Antibacterials,"Beta-lactam, Penicillins", ,,
Antibacterials,"Beta-lactam, Penicillins",Amoxicillin ,,no
Antibacterials,"Beta-lactam, Penicillins",Amoxicillin/ Clavulanate Potassium ,,yes
Antibacterials,"Beta-lactam, Penicillins",Ampicillin ,,no
Antibacterials,"Beta-lactam, Penicillins",Ampicillin Sodium/ Sulbactam Sodium ,,yes
Antibacterials,"Beta-lactam, Penicillins", ,,
Antibacterials,"Beta-lactam, Penicillins",Piperacillin Sodium/ Tazobactam Sodium ,,yes
Antibacterials,"Beta-lactam, Penicillins", ,,
Antibacterials,"Beta-lactam, Penicillins",Penicillin G Benzathine,,no
Antibacterials,"Beta-lactam, Penicillins",Penicillin G Potassium,,no
Antibacterials,"Beta-lactam, Penicillins",Penicillin G Procaine,,no
Antibacterials,"Beta-lactam, Penicillins",Penicillin G Sodium,,no
Antibacterials,"Beta-lactam, Penicillins",Penicillin G Benzathine/ Penicillin G Procaine ,,yes
Antibacterials,"Beta-lactam, Penicillins",Penicillin V Potassium,,no
Antibacterials,"Beta-lactam, Penicillins", ,,
Antibacterials,"Beta-lactam, Penicillins",Dicloxacillin Sodium,,no
Antibacterials,"Beta-lactam, Penicillins",Nafcillin Sodium,,no
Antibacterials,"Beta-lactam, Penicillins",Oxacillin Sodium,,no
Antibacterials,Carbapenems, ,,Class
Antibacterials,Carbapenems,Ertapenem Sodium,,no
Antibacterials,Carbapenems,Imipenem/ Cilastatin Sodium ,,yes
Antibacterials,Carbapenems,Imipenem/ Cilastatin/ Relebactam ,,yes
Antibacterials,Carbapenems,Meropenem ,,no
Antibacterials,Carbapenems,Meropenem/ Vaborbactam ,,yes
Antibacterials,Macrolides, ,,Class
Antibacterials,Macrolides,Azithromycin ,,no
Antibacterials,Macrolides,Clarithromycin ,,no
Antibacterials,Macrolides,Erythromycin ,,no
Antibacterials,Macrolides,Erythromycin Ethylsuccinate,,no
Antibacterials,Macrolides,Erythromycin Lactobionate ,,no
Antibacterials,Macrolides,Erythromycin Stearate,,no
Antibacterials,Macrolides,Fidaxomicin ,,no
Antibacterials,Quinolones, ,,Class
Antibacterials,Quinolones,Besifloxacin Hydrochloride,,no
Antibacterials,Quinolones,Ciprofloxacin ,,no
Antibacterials,Quinolones,Ciprofloxacin Hydrochloride,,no
Antibacterials,Quinolones,Delafloxacin Meglumine,,no
Antibacterials,Quinolones,Gatifloxacin ,,no
Antibacterials,Quinolones,Gemifloxacin Mesylate,,no
Antibacterials,Quinolones,Levofloxacin ,,no
Antibacterials,Quinolones,Moxifloxacin Hydrochloride,,no
Antibacterials,Quinolones,Ofloxacin ,,no
Antibacterials,Sulfonamides, ,,Class
Antibacterials,Sulfonamides,Sulfacetamide Sodium,,no
Antibacterials,Sulfonamides,Sulfadiazine ,,no
Antibacterials,Tetracyclines, ,,Class
Antibacterials,Tetracyclines,Demeclocycline Hydrochloride,,no
Antibacterials,Tetracyclines,Doxycycline,,no
Antibacterials,Tetracyclines,Doxycycline Calcium,,no
Antibacterials,Tetracyclines,Doxycycline Hyclate,,no
Antibacterials,Tetracyclines,Eravacycline ,,no
Antibacterials,Tetracyclines,Minocycline Hydrochloride,,no
Antibacterials,Tetracyclines,Omadacycline ,,no
Antibacterials,Tetracyclines,Sarecycline ,,no
Antibacterials,Tetracyclines,Tetracycline Hydrochloride,,no
Antibacterials,"Antibacterials, Other", ,,Class
Antibacterials,"Antibacterials, Other", ,,
Antibacterials,"Antibacterials, Other",Sulfamethoxazole/ Trimethoprim ,,yes
Antibacterials,"Antibacterials, Other",Trimethoprim ,,no
Antibacterials,"Antibacterials, Other", ,,
Antibacterials,"Antibacterials, Other",Dalbavancin Hydrochloride,,no
Antibacterials,"Antibacterials, Other",Oritavancin Diphosphate,,no
Antibacterials,"Antibacterials, Other",Telavancin Hydrochloride,,no
Antibacterials,"Antibacterials, Other",Vancomycin Hydrochloride,,no
Antibacterials,"Antibacterials, Other", ,,
Antibacterials,"Antibacterials, Other",Clindamycin Hydrochloride,,no
Antibacterials,"Antibacterials, Other",Clindamycin Palmitate Hydrochloride,,no
Antibacterials,"Antibacterials, Other",Lincomycin Hydrochloride,,no
Antibacterials,"Antibacterials, Other", ,,
Antibacterials,"Antibacterials, Other",Nitrofurantoin ,,no
Antibacterials,"Antibacterials, Other", ,,
Antibacterials,"Antibacterials, Other",Linezolid ,,no
Antibacterials,"Antibacterials, Other",Tedizolid  Phosphate ,,no
Antibacterials,"Antibacterials, Other",,,
Antibacterials,"Antibacterials, Other",Lefamulin Acetate,,no
Antibacterials,"Antibacterials, Other",,,
Antibacterials,"Antibacterials, Other",Aztreonam ,,no
Antibacterials,"Antibacterials, Other",,,
Antibacterials,"Antibacterials, Other",Daptomycin ,,no
Antibacterials,"Antibacterials, Other",,,
Antibacterials,"Antibacterials, Other",Metronidazole ,,no
Antibacterials,"Antibacterials, Other",Secnidazole ,,no
Antibacterials,"Antibacterials, Other",Tinidazole  ,,no
Antibacterials,"Antibacterials, Other",,,
Antibacterials,"Antibacterials, Other",Tigecycline ,,no
Antibacterials,"Antibacterials, Other", ,,
Antibacterials,"Antibacterials, Other",Acetic Acid ,,no
Antibacterials,"Antibacterials, Other",Bacitracin ,,no
Antibacterials,"Antibacterials, Other",Chloramphenicol Sodium Succinate,,no
Antibacterials,"Antibacterials, Other",Fosfomycin Tromethamine,,no
Antibacterials,"Antibacterials, Other",Methenamine Hippurate,,no
Antibacterials,"Antibacterials, Other",Methenamine Mandelate,,no
Antibacterials,"Antibacterials, Other",Polymyxin B Sulfate,,no
Antibacterials,"Antibacterials, Other",Rifaximin ,,no
Anticonvulsants,"Antibacterials, Other", ,,Cat
Anticonvulsants,Calcium Channel Modifying Agents, ,,Class
Anticonvulsants,Calcium Channel Modifying Agents,Ethosuximide ,,no
Anticonvulsants,Calcium Channel Modifying Agents,Methsuximide ,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents, ,,Class
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents, ,Benzodiazepines,PG
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Clobazam ,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Clonazepam ,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Clorazepate Dipotassium,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Diazepam ,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Lorazepam ,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents, ,Barbituates,PG
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Phenobarbital ,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Primidone ,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents, ,"GABA Agents, Other",PG
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Gabapentin ,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Pregabalin ,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Tiagabine ,,no
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Vigabatrin ,,no
Anticonvulsants,Sodium Channel Agents, ,,Class
Anticonvulsants,Sodium Channel Agents,Carbamazepine ,,no
Anticonvulsants,Sodium Channel Agents,Eslicarbazepine  ,,no
Anticonvulsants,Sodium Channel Agents,Ethotoin ,,no
Anticonvulsants,Sodium Channel Agents,Fosphenytoin ,,no
Anticonvulsants,Sodium Channel Agents,Lacosamide ,,no
Anticonvulsants,Sodium Channel Agents,Oxcarbazepine ,,no
Anticonvulsants,Sodium Channel Agents,Phenytoin ,,no
Anticonvulsants,Sodium Channel Agents,Phenytoin Sodium,,no
Anticonvulsants,Sodium Channel Agents,Rufinamide ,,no
Anticonvulsants,Sodium Channel Agents,Zonisamide ,,no
Anticonvulsants,"Anticonvulsants, Other", ,,Class
Anticonvulsants,"Anticonvulsants, Other",Cannabidiol ,,no
Anticonvulsants,"Anticonvulsants, Other",,,
Anticonvulsants,"Anticonvulsants, Other",Fenfluramine,,no
Anticonvulsants,"Anticonvulsants, Other", ,Potassium Channel Opener,PG
Anticonvulsants,"Anticonvulsants, Other",Brivaracetam ,,no
Anticonvulsants,"Anticonvulsants, Other",Levetiracetam ,,no
Anticonvulsants,"Anticonvulsants, Other", ,,
Anticonvulsants,"Anticonvulsants, Other",Cenobamate,,no
Anticonvulsants,"Anticonvulsants, Other",Divalproex Sodium,,no
Anticonvulsants,"Anticonvulsants, Other",Felbamate ,,no
Anticonvulsants,"Anticonvulsants, Other",Lamotrigine ,,no
Anticonvulsants,"Anticonvulsants, Other",Perampanel ,,no
Anticonvulsants,"Anticonvulsants, Other",Stiripentol ,,no
Anticonvulsants,"Anticonvulsants, Other",Topiramate ,,no
Anticonvulsants,"Anticonvulsants, Other",Valproic Acid ,,no
Antidementia Agents,"Anticonvulsants, Other", ,,Cat
Antidementia Agents,Cholinesterase Inhibitors, ,,Class
Antidementia Agents,Cholinesterase Inhibitors,Donepezil Hydrochloride,,no
Antidementia Agents,Cholinesterase Inhibitors,Galantamine Hydrobromide,,no
Antidementia Agents,Cholinesterase Inhibitors,Rivastigmine ,,no
Antidementia Agents,Cholinesterase Inhibitors,Rivastigmine Tartrate,,no
Antidementia Agents,N-methyl-D-aspartate (NMDA) Receptor Antagonist, ,,Class
Antidementia Agents,N-methyl-D-aspartate (NMDA) Receptor Antagonist,Memantine Hydrochloride,,no
Antidementia Agents,"Antidementia Agents, Other", ,,Class
Antidementia Agents,"Antidementia Agents, Other",Memantine/ Donepezil Hydrochloride  ,,yes
Antidementia Agents,"Antidementia Agents, Other",Ergoloid Mesylates ,,no
Antidepressants,"Antidementia Agents, Other", ,,Cat
Antidepressants,Monoamine Oxidase Inhibitors, ,,Class
Antidepressants,Monoamine Oxidase Inhibitors,Isocarboxazid ,,no
Antidepressants,Monoamine Oxidase Inhibitors,Phenelzine Sulfate,,no
Antidepressants,Monoamine Oxidase Inhibitors,Selegiline ,,no
Antidepressants,Monoamine Oxidase Inhibitors,Tranylcypromine Sulfate,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors), ,,Class
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Citalopram Hydrobromide,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Desvenlafaxine ,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Desvenlafaxine Succinate,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Duloxetine Hydrochloride,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Escitalopram Oxalate,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Fluoxetine Hydrochloride,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Fluvoxamine Maleate,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Levomilnacipran  Hydrochloride,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Nefazodone Hydrochloride,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Paroxetine Hydrochloride,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Sertraline Hydrochloride,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Trazodone Hydrochloride,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Venlafaxine Hydrochloride,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Vilazodone Hydrochloride,,no
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/ Serotonin and Norepinephrine Reuptake Inhibitors),Vortioxetine Hydrobromide,,no
Antidepressants,Tricyclics, ,,Class
Antidepressants,Tricyclics,Amitriptyline Hydrochloride,,no
Antidepressants,Tricyclics,Amoxapine ,,no
Antidepressants,Tricyclics,Clomipramine Hydrochloride,,no
Antidepressants,Tricyclics,Desipramine Hydrochloride,,no
Antidepressants,Tricyclics,Doxepin Hydrochloride,,no
Antidepressants,Tricyclics,Imipramine Hydrochloride,,no
Antidepressants,Tricyclics,Imipramine Pamoate,,no
Antidepressants,Tricyclics,Nortriptyline Hydrochloride,,no
Antidepressants,Tricyclics,Protriptyline Hydrochloride,,no
Antidepressants,Tricyclics,Trimipramine Maleate,,no
Antidepressants,"Antidepressants, Other", ,,Class
Antidepressants,"Antidepressants, Other",Maprotiline Hydrochloride,,no
Antidepressants,"Antidepressants, Other",,,
Antidepressants,"Antidepressants, Other",Buproprion Hydrobromide,,no
Antidepressants,"Antidepressants, Other",Bupropion Hydrochloride,,no
Antidepressants,"Antidepressants, Other",Mirtazapine ,,no
Antidepressants,"Antidepressants, Other", ,,
Antidepressants,"Antidepressants, Other",Aripiprazole ,,no
Antidepressants,"Antidepressants, Other",Quetiapine Fumarate,,no
Antidepressants,"Antidepressants, Other", ,,
Antidepressants,"Antidepressants, Other",Esketamine Hydrochloride,,no
Antidepressants,"Antidepressants, Other", ,,
Antidepressants,"Antidepressants, Other",Chlordiazepoxide/ Amitriptyline Hydrochloride ,,yes
Antidepressants,"Antidepressants, Other",Olanzapine/ Fluoxetine  ,,yes
Antidepressants,"Antidepressants, Other",Perphenazine/ Amitriptyline Hydrochloride ,,yes
Antiemetics,"Antidepressants, Other", ,,Cat
Antiemetics,Emetogenic Therapy Adjuncts, ,,Class
Antiemetics,Emetogenic Therapy Adjuncts,,,
Antiemetics,Emetogenic Therapy Adjuncts,Rolapitant ,,no
Antiemetics,Emetogenic Therapy Adjuncts,,,
Antiemetics,Emetogenic Therapy Adjuncts,Granisetron Hydrochloride,,no
Antiemetics,Emetogenic Therapy Adjuncts,Ondansetron ,,no
Antiemetics,Emetogenic Therapy Adjuncts,Ondansetron Hydrochloride,,no
Antiemetics,Emetogenic Therapy Adjuncts,Palonosetron Hydrochloride,,no
Antiemetics,Emetogenic Therapy Adjuncts,,,
Antiemetics,Emetogenic Therapy Adjuncts,Aprepitant ,,no
Antiemetics,Emetogenic Therapy Adjuncts,Fosnetupitant/ Palonosetron ,,yes
Antiemetics,Emetogenic Therapy Adjuncts,"Netupitant/ Palonosetron 
 ",,yes
Antiemetics,Emetogenic Therapy Adjuncts,,,
Antiemetics,Emetogenic Therapy Adjuncts,Dronabinol ,,no
Antiemetics,Emetogenic Therapy Adjuncts,Nabilone ,,no
Antiemetics,"Antiemetics, Other", ,,Class
Antiemetics,"Antiemetics, Other",Amisulpride,,no
Antiemetics,"Antiemetics, Other",Chlorpromazine Hydrochloride,,no
Antiemetics,"Antiemetics, Other",Diphenhydramine Hydrochloride,,no
Antiemetics,"Antiemetics, Other",Doxylamine Succinate/ Pyridoxine Hydrochloride ,,yes
Antiemetics,"Antiemetics, Other",Hydroxyzine Hydrochloride,,no
Antiemetics,"Antiemetics, Other",Meclizine Hydrochloride,,no
Antiemetics,"Antiemetics, Other",Metoclopramide ,,no
Antiemetics,"Antiemetics, Other",Perphenazine ,,no
Antiemetics,"Antiemetics, Other",Prochlorperazine Edisylate,,no
Antiemetics,"Antiemetics, Other",Prochlorperazine Maleate,,no
Antiemetics,"Antiemetics, Other",Promethazine Hydrochloride,,no
Antiemetics,"Antiemetics, Other",Scopolamine ,,no
Antiemetics,"Antiemetics, Other",Trimethobenzamide Hydrochloride,,no
Antifungals,"Antiemetics, Other", ,,Cat
Antifungals,"Antiemetics, Other", ,,
Antifungals,"Antiemetics, Other",Naftifine Hydrochloride,,no
Antifungals,"Antiemetics, Other",Terbinafine Hydrochloride,,no
Antifungals,"Antiemetics, Other", ,,
Antifungals,"Antiemetics, Other",Butoconazole Nitrate,,no
Antifungals,"Antiemetics, Other",Clotrimazole ,,no
Antifungals,"Antiemetics, Other",Econazole Nitrate,,no
Antifungals,"Antiemetics, Other",Fluconazole ,,no
Antifungals,"Antiemetics, Other",Isavuconazonium Sulfate,,no
Antifungals,"Antiemetics, Other",Itraconazole ,,no
Antifungals,"Antiemetics, Other",Ketoconazole ,,no
Antifungals,"Antiemetics, Other",Luliconazole ,,no
Antifungals,"Antiemetics, Other",Miconazole Nitrate,,no
Antifungals,"Antiemetics, Other",Oxiconazole Nitrate,,no
Antifungals,"Antiemetics, Other",Posaconazole ,,no
Antifungals,"Antiemetics, Other",Sertaconazole Nitrate,,no
Antifungals,"Antiemetics, Other",Sulconazole Nitrate,,no
Antifungals,"Antiemetics, Other",Terconazole ,,no
Antifungals,"Antiemetics, Other",Voriconazole ,,no
Antifungals,"Antiemetics, Other", ,,
Antifungals,"Antiemetics, Other",Anidulafungin ,,no
Antifungals,"Antiemetics, Other",Caspofungin Acetate,,no
Antifungals,"Antiemetics, Other",Micafungin Sodium,,no
Antifungals,"Antiemetics, Other", ,,
Antifungals,"Antiemetics, Other",Amphotericin B ,,no
Antifungals,"Antiemetics, Other",Nystatin ,,no
Antifungals,"Antiemetics, Other", ,,
Antifungals,"Antiemetics, Other",Flucytosine ,,no
Antifungals,"Antiemetics, Other",Griseofulvin ,,no
Antigout Agents,"Antiemetics, Other", ,,Cat
Antigout Agents,"Antiemetics, Other", ,,
Antigout Agents,"Antiemetics, Other",Probenecid ,,no
Antigout Agents,"Antiemetics, Other", ,,
Antigout Agents,"Antiemetics, Other",Allopurinol ,,no
