,0,group,group_1,group2,
cilostazol,Cilostazol can be classified as an 'antiplatelet agent'.,[],anticoagulants,,
dabigatran etexilate,Dabigatran etexilate is classified as an anticoagulant.,[],anticoagulants,,
savaysa,Savaysa is a prescription medication classified as an anticoagulant.,[],anticoagulants,,
ticlopidine,Ticlopidine can be classified as an anticoagulant.,[],anticoagulants,,
acenocoumarol,Acenocoumarol belongs to the category of anticoagulants.,['anticoagulants'],anticoagulants,,
dabigatran,Dabigatran belongs to the category of anticoagulants.,['anticoagulants'],anticoagulants,,
orlistat,Orlistat can be classified as a medication for obesity treatment.,[],Antidiabetics,add comment: weight loss,
eucreas,"Based on the information provided, eucreas can be classified as an ""Antidiabetic"" medication.",[],Antidiabetics,?,
humalog mix,Humalog mix is classified as an antidiabetic medication.,[],Antidiabetics,,
janumet,Janumet is classified as an antidiabetic medication.,[],Antidiabetics,,
jentadueto,"The medication ""jentadueto"" is classified as an antidiabetic drug.",[],Antidiabetics,,
kazano,Kazano is classified as an antidiabetic medication.,[],Antidiabetics,,
komboglyze,Komboglyze is classified as an antidiabetic medication.,[],Antidiabetics,,
onglyza,Onglyza can be classified as an Antidiabetic medication.,[],Antidiabetics,,
saxenda,"Based on the given list of categories, Saxenda is classified as an ""Antidiabetic"" medication.",[],Antidiabetics,,
tradjenta,Tradjenta is classified as an antidiabetic medication.,[],Antidiabetics,,
byetta,"Byetta belongs to the category of ""Antidiabetics"".",['Antidiabetics'],Antidiabetics,,
glimepirida,"Glimepiride can be classified into the category of ""Antidiabetics"".",['Antidiabetics'],Antidiabetics,,
glucobalance,"From the given list of categories, glucobalance can be classified as ""Antidiabetics"".",['Antidiabetics'],Antidiabetics,,
insuline,"Insulin falls under the category of ""Antidiabetics.""",['Antidiabetics'],Antidiabetics,,
canagliflozin,Canagliflozin belongs to the category of 'Antidiabetics'.,['Antidiabetics'],Antidiabetics,,
glyburide w/metformin,"Glyburide w/metformin can be classified into the category of ""Antidiabetics"".",['Antidiabetics'],Antidiabetics,,
novolin 70/30,Novolin 70/30 falls into the category of 'Antidiabetics'.,['Antidiabetics'],Antidiabetics,,
repaglinide,"Repaglinide belongs to the category of ""Antidiabetics"".",['Antidiabetics'],Antidiabetics,,
toujeo,Toujeo falls under the category of 'Antidiabetics'.,['Antidiabetics'],Antidiabetics,,
dramamine,Dramamine falls under the category of antiemetic.,[],Antiemetic,antihistamine,
motilium,Motilium can be classified as an antiemetic.,[],Antiemetic,,
prochlorperazine maleate,Prochlorperazine maleate is classified as an antiemetic medication.,[],Antiemetic,,
trimethobenzamide,The drug trimethobenzamide is classified as an antiemetic medication.,[],Antiemetic,,
tigan,"The medication ""tigan"" is used as an antiemetic, which means it helps prevent or alleviate nausea and vomiting. Therefore, it can be classified under the category ""Antiemetic"".",['Antiemetic'],Antiemetic,,
simeticona,Simeticona is classified as an antiflatulent.,[],Antiflatulent,,
ciclopirox olamine,Ciclopirox olamine is classified as an antifungal medication.,['antifungal'],antifungal,,
ketaconozole 2%,Ketoconazole 2% can be classified as an antifungal medication.,['antifungal'],antifungal,,
ketoconazole 2% topical cream,ketoconazole 2% topical cream falls under the category of 'antifungal'.,['antifungal'],antifungal,,
lamisil,Lamisil is an antifungal medication.,['antifungal'],antifungal,,
miconazole nitrate,Miconazole nitrate can be classified as an antifungal medication.,['antifungal'],antifungal,,
monistat,"Monistat falls under the category of ""antifungal"".",['antifungal'],antifungal,,
mycostatin,Mycostatin is classified as an antifungal medication.,['antifungal'],antifungal,,
nizoral,Nizoral is classified as an antifungal medication.,['antifungal'],antifungal,,
omoconazole,Omoconazole is classified as an antifungal medication.,['antifungal'],antifungal,,
oxistat,Oxistat is classified as an antifungal medication.,['antifungal'],antifungal,,
tolnaftate,Tolnaftate can be classified as an antifungal medication.,['antifungal'],antifungal,,
bilaxten,"bilaxten is an antihistamine medication used to treat allergic symptoms such as itching, sneezing, and runny nose. Therefore, it can be classified as an antihistamine.",[],antihistamines,,
cetirizina,Cetirizina is an antihistamine medication used to treat allergies and is commonly classified under the category 'Antihistamines'.,[],antihistamines,,
zyrtek,Zyrtec is classified as an antihistamine.,[],Antihistamines,,
chlorpheniramine maleate,Chlorpheniramine maleate falls under the category of antihistamines.,['antihistamines'],antihistamines,,
desloratadine,Desloratadine belongs to the category of antihistamines.,['antihistamines'],antihistamines,,
ketotifen,"Ketotifen falls under the category of ""antihistamines.""",['antihistamines'],antihistamines,,
latuda,Latuda is classified as an antipsychotic medication.,[],Antipsychotics,,
clozaril,"Clozaril is classified as an ""antipsychotic"" medication.",[],Antipsychotics,,
iloperidone,Iloperidone belongs to the category of antipsychotic medications.,[],Antipsychotics,,
risperdal,Risperdal is classified as an antipsychotic medication.,[],Antipsychotics,,
sulpirida,Sulpiride is classified as an antipsychotic medication.,[],Antipsychotics,,
ziprasidone,"Ziprasidone is classified as an ""Antipsychotic"" medication.",[],Antipsychotics,,
aripiprazole,Aripiprazole falls under the category of 'Antipsychotics'.,['Antipsychotics'],Antipsychotics,,
iodine tincture,Iodine tincture can be classified as an antiseptic or a topical disinfectant.,[],Antiseptic,,
brivudine,Brivudine is classified as an antiviral medication.,[],antivirals,,
oseltamivir,Oseltamivir is classified as an antiviral medication.,[],Antivirals,,
ribapak,Ribapak is classified as an antiviral medication.,[],Antivirals,,
medazepam,"Medazepam falls under the category of ""anxiety medications"".",[],Anxiety Medications,,
delorazepam,"Delorazepam falls under the category of ""Anxiety Medications"".",['Anxiety Medications'],Anxiety Medications,,
opipramol,"Opipramol is classified under the category ""Anxiety Medications"".",['Anxiety Medications'],Anxiety Medications,,
amiodarona,Amiodarona is classified as an anti-arrhythmic medication.,[],arrthythmic,,
rogaine for men,"Rogaine for men falls into the category of ""balding"" medication.",['balding'],balding,*hypertension,
levobunolol,Levobunolol is classified as a Beta-Blocker.,[],Beta-Blockers,,
nebilet,Nebilet is classified as a Beta-Blocker.,[],Beta-Blockers,,
toprol,Toprol is classified as a Beta-Blocker.,[],Beta-Blockers,,
bisohexal,Bisohexal belongs to the category of 'Beta-Blockers'.,['Beta-Blockers'],Beta-Blockers,,
labetalol,Labetalol belongs to the category of 'Beta-Blockers'.,['Beta-Blockers'],Beta-Blockers,,
ursofalk,Ursofalk can be classified as a bile acid used in the treatment of various liver conditions.,[],Bile acid,,
enablex,Enablex falls into the category of 'bladder relaxants'.,[],Bladder Relaxants,,
detrusitol,Detrusitol is classified as a bladder relaxant.,[],Bladder Relaxants,,
ditropan xl,Ditropan XL falls into the category of 'bladder relaxants'.,[],Bladder Relaxants,,
oxybutyn,Oxybutynin is classified as a 'bladder relaxant'.,[],Bladder Relaxants,,
oxytrol,Oxytrol belongs to the category of 'bladder relaxants' as it is used to treat overactive bladder.,[],Bladder Relaxants,,
vesikur,Vesikur is classified as a bladder relaxant medication.,[],Bladder Relaxants,,
erythropoietin,"Erythropoietin can be classified as a ""bone-marrow stimulant"".",['bone-marrow stimulant'],bone-marrow stimulant,,
amlodine,"Amlodipine belongs to the category of ""Calcium Channel Blockers"".",['Calcium Channel Blockers'],Calcium Channel Blockers,,
amlodipin,"Amlodipine belongs to the category of ""Calcium Channel Blockers"".",['Calcium Channel Blockers'],Calcium Channel Blockers,,
nifedical xl,"Nifedical XL belongs to the category of ""Calcium Channel Blockers"".",['Calcium Channel Blockers'],Calcium Channel Blockers,,
nisoldipine,"Nisoldipine falls into the category of ""Calcium Channel Blockers"".",['Calcium Channel Blockers'],Calcium Channel Blockers,,
procardia,"Procardia falls under the category of ""Calcium Channel Blockers"".",['Calcium Channel Blockers'],Calcium Channel Blockers,,
carboplatin,Carboplatin is classified as a cancer medication.,['cancer medication'],cancer medication,,
efudex,"Efudex is classified as an ""anti-neoplastic,"" which is a type of cancer medication.",['cancer medication'],cancer medication,,
folfox 6,FOLFOX 6 falls under the category of cancer medication.,['cancer medication'],cancer medication,,
nilotinib,Nilotinib is classified as an 'anti-cancer medication'.,['cancer medication'],cancer medication,,
pemetrexed,Pemetrexed is classified as a cancer medication.,['cancer medication'],cancer medication,,
temodar,"Temodar is classified as an ""antineoplastic,"" which is a category of cancer medications.",['cancer medication'],cancer medication,,
valrubicin,Valrubicin is classified as 'cancer medication'.,['cancer medication'],cancer medication,,
venclexta,Venclexta (venetoclax) is classified as a cancer medication.,['cancer medication'],cancer medication,,
dronabinol,Dronabinol is classified as 'cannabis'.,['cannabis'],cannabis,,
atorvalan,"Atorvalan belongs to the category of ""cholesterol medication.""",['cholesterol medication'],cholesterol medication,,
atorvastin,"Atorvastatin belongs to the category of ""cholesterol medication.""",['cholesterol medication'],cholesterol medication,,
phytosterols nos,"Phytosterols are a group of compounds found in plants that have a chemical structure similar to cholesterol. They are commonly used as cholesterol-lowering agents and are classified under the category ""cholesterol medication.""",['cholesterol medication'],cholesterol medication,,
beta sitosterol,"Beta sitosterol can be classified as ""cholesterol medication"" from the given categories.",['cholesterol medication'],cholesterol medication,,
ciprofibrate,Ciprofibrate can be classified as a cholesterol medication.,['cholesterol medication'],cholesterol medication,,
lovaza,"Lovaza is classified as a ""cholesterol medication"".",['cholesterol medication'],cholesterol medication,,
niaspan,"Niaspan falls into the category of ""cholesterol medication"".",['cholesterol medication'],cholesterol medication,,
simvastatin aristo,Simvastatin Aristo is classified as a cholesterol medication.,['cholesterol medication'],cholesterol medication,,
simvabeta,"Simvabeta falls into the category of ""cholesterol medication.""",['cholesterol medication'],cholesterol medication,,
simvacor,Simvacor is classified as a cholesterol medication.,['cholesterol medication'],cholesterol medication,,
teva ezetimibe,Teva ezetimibe is classified as a 'cholesterol medication'.,['cholesterol medication'],cholesterol medication,,
trilipix,"Trilipix is classified as a ""cholesterol medication"".",['cholesterol medication'],cholesterol medication,,
tiotropium bromide,"tiotropium bromide falls under the category of ""Cholinergic agonists"".",[],Cholinergic agonist,Anticholinergic ,
distigmine bromide,Distigmine bromide is classified as a cholinergic agonist.,[],Cholinergic agonist,,
dextromethorphan,"Dextromethorphan is classified as a ""cough medicine.""",['cough medicine'],cough medicine,opiates,
guaifenesin w/hydrocodone,guaifenesin w/hydrocodone is classified as a cough medicine.,['cough medicine'],cough medicine,opiates,
chlorpheniramine w/hydrocodone,The combination of chlorpheniramine with hydrocodone is commonly used as a cough medicine.,['cough medicine'],cough medicine,opiates,
mucosolvan,Mucosolvan is a cough medicine.,['cough medicine'],cough medicine,,
nyquil,Nyquil can be classified as a 'cough medicine'.,['cough medicine'],cough medicine,,
theraflu,"Theraflu can be classified as a ""cough medicine"".",['cough medicine'],cough medicine,,
advil cold & sinus,"Advil Cold & Sinus falls into the category of ""decongestant"".",['decongestant'],decongestant,NSAID,
dayquil,Dayquil can be classified as a decongestant.,['decongestant'],decongestant,,
dexa rhinaspray,"Based on the information provided, dexa rhinaspray is classified as a decongestant.",['decongestant'],decongestant,,
oxymetazoline hydrochloride,Oxymetazoline hydrochloride can be classified as a decongestant.,['decongestant'],decongestant,,
tylenol cold,Tylenol Cold can be classified as a decongestant.,['decongestant'],decongestant,,
tylenol extra strength sinus,"Tylenol Extra Strength Sinus falls under the category of 'decongestant', as it is a medication used to relieve symptoms associated with sinus congestion and nasal congestion.",['decongestant'],decongestant,,
doxepin hcl,Doxepin HCl is classified as an antidepressant medication.,[],Depression Medications,,
elavil,"Elavil, also known as amitriptyline, can be classified as an antidepressant and is commonly used to treat depression.",[],Depression Medications,,
nefazodone,Nefazodone belongs to the category of antidepressant medications.,[],Depression Medications,,
elontril,"Elontril is an antidepressant medication, also known as Bupropion. It is used to treat depression and may also be used for smoking cessation. Therefore, it can be classified under the category ""Depression Medications"".",['Depression Medications'],Depression Medications,,
milnacipran,"Milnacipran is classified as an SNRI (serotonin-norepinephrine reuptake inhibitor) and is primarily used as an antidepressant medication. Therefore, it can be classified under 'Depression Medications'.",['Depression Medications'],Depression Medications,,
trevilor,"Trevilor is classified as an SNRI (Serotonin-norepinephrine reuptake inhibitor) and is commonly used as an antidepressant medication. Therefore, it would fall under the category of ""Depression Medications"".",['Depression Medications'],Depression Medications,,
aldactone,Aldactone belongs to the category of 'diuretics'.,[],diuretics,,
bumetanide,"Bumetanide is classified as a diuretic, specifically one of the loop diuretics.",[],diuretics,,
clortalidona,Clortalidona is classified as a diuretic.,[],diuretics,,
esidrix,Esidrix falls into the category of diuretics.,[],diuretics,,
hidroclorotiazide,Hidroclorotiazide is classified as a Diuretic.,[],Diuretics,,
hydrochlorothiazid,"Hydrochlorothiazide is classified as a diuretic, specifically a thiazide diuretic.",[],diuretics,,
hidrosaluretil,Hidrosaluretil is classified as a diuretic medication.,[],diuretics,,
indapamid,"Indapamide can be classified as a diuretic or a ""Diuretic"" medication.",[],diuretics,,
piretanid,"The classification of piretanide is ""diuretics"".",[],Diuretics,,
bendroflumethiazide,"Bendroflumethiazide falls into the category of ""Diuretics"".",['Diuretics'],Diuretics,,
chlortalidone,"Chlortalidone can be classified into the category ""Diuretics"".",['Diuretics'],Diuretics,,
dyazide,"Dyazide is classified as a diuretic, specifically a combination of a thiazide diuretic and a potassium-sparing diuretic. It is commonly used to treat fluid retention (edema) and high blood pressure (hypertension). Therefore, it can be classified under ""Diuretics"" category.",['Diuretics'],Diuretics,,
furosemid,"Furosemide falls under the category of ""Diuretics"".",['Diuretics'],Diuretics,,
furosemida,"Furosemida is classified as a diuretic, which falls under the category of ""Diuretics"".",['Diuretics'],Diuretics,,
hydrochlorothiazide/tiamterene,"hydrochlorothiazide/tiamterene is classified as a diuretic, specifically as a combination medication that contains a thiazide diuretic (hydrochlorothiazide) and a potassium-sparing diuretic (triamterene). Therefore, it falls under the category of ""Diuretics"".",['Diuretics'],Diuretics,,
lisinopril and hydrochlortiazide,"Lisinopril and hydrochlorothiazide can be classified as 'Hypertension & sartans' and 'Diuretics', respectively.",['Diuretics'],Diuretics,,
torasemid al,Torasemide belongs to the category of 'Diuretics'.,['Diuretics'],Diuretics,,
torasemida bayvit,"The medication Torasemida Bayvit falls under the category of ""Diuretics"".",['Diuretics'],Diuretics,,
demadex,"Demadex is classified as a diuretic medication, which falls under the category of ""Diuretics"".",['Diuretics'],Diuretics,,
torsemide,Torsemide belongs to the category of 'Diuretics'.,['Diuretics'],Diuretics,,
triamteren comp,"Triamteren comp falls under the category of ""Diuretics"".",['Diuretics'],Diuretics,,
bio-identical hormone cream,"Based on the given list of categories, bio-identical hormone cream falls into the category of ""estrogen-related systemic drug.""",['estrogen-related systemic drug'],estrogen-related systemic drug,estrogen topical,
contraceptives,"No, contraceptives cannot be classified into any of the provided categories. They should be categorized separately as contraceptives as they serve a specific purpose related to birth control and pregnancy prevention.",[],estrogen-related systemic drug,,
estrogen,"Estrogen falls into the category of ""estrogen-related systemic drug"".",['estrogen-related systemic drug'],estrogen-related systemic drug,,
norethindrone acetate and ethinyl estradiol a,Norethindrone acetate and ethinyl estradiol are classified as estrogen-related systemic drugs.,['estrogen-related systemic drug'],estrogen-related systemic drug,,
levonorgestrel,"Levonorgestrel falls into the category of ""estrogen-related systemic drug"".",['estrogen-related systemic drug'],estrogen-related systemic drug,,
clomiphene,"Clomiphene is classified as an ""estrogen-related systemic drug"".",['estrogen-related systemic drug'],estrogen-related systemic drug,,
combipatch,Combipatch is an estrogen-related systemic drug.,['estrogen-related systemic drug'],estrogen-related systemic drug,,
estradot,Estradot is an estrogen-related systemic drug.,['estrogen-related systemic drug'],estrogen-related systemic drug,,
estriol,Estriol is an estrogen-related systemic drug.,['estrogen-related systemic drug'],estrogen-related systemic drug,,
estraderm matrix,"Based on the information provided, estraderm matrix is an estrogen-related systemic drug.",['estrogen-related systemic drug'],estrogen-related systemic drug,,
livial,"Livial can be classified as an ""estrogen-related systemic drug"".",['estrogen-related systemic drug'],estrogen-related systemic drug,,
ospemifene,Ospemifene can be classified as an estrogen-related systemic drug.,['estrogen-related systemic drug'],estrogen-related systemic drug,,
osphena,Osphena is classified as an estrogen-related systemic drug.,['estrogen-related systemic drug'],estrogen-related systemic drug,,
ovcon-35,The medication Ovcon-35 is classified as an estrogen-related systemic drug.,['estrogen-related systemic drug'],estrogen-related systemic drug,,
premique,"The drug ""Premique"" is an estrogen-related systemic drug.",['estrogen-related systemic drug'],estrogen-related systemic drug,,
